Date,Mkt-RF,SMB,HML,RF,MOM
7/31/1926,2.96,-2.38,-2.73,0.22,
8/31/1926,2.64,-1.47,4.14,0.25,
9/30/1926,0.36,-1.39,0.12,0.23,
10/31/1926,-3.24,-0.13,0.65,0.32,
11/30/1926,2.53,-0.16,-0.38,0.31,
12/31/1926,2.62,-0.02,0,0.28,
1/31/1927,-0.06,-0.51,4.73,0.25,0.36
2/28/1927,4.18,-0.25,3.27,0.26,-2.14
3/31/1927,0.13,-1.89,-2.56,0.3,3.61
4/30/1927,0.46,0.49,0.71,0.25,4.3
5/31/1927,5.44,1.46,4.98,0.3,3
6/30/1927,-2.34,0.51,-1.53,0.26,0.55
7/31/1927,7.26,-3.25,-1.14,0.3,4.31
8/31/1927,1.97,-0.69,-3.74,0.28,1.36
9/30/1927,4.76,-3.63,-0.63,0.21,1.98
10/31/1927,-4.31,2.12,-4.33,0.25,-0.87
11/30/1927,6.58,2.72,-0.27,0.21,-0.66
12/31/1927,2.09,0.97,-1.13,0.22,3.21
1/31/1928,-0.68,4.26,-0.75,0.25,-0.52
2/29/1928,-1.7,-2.06,-0.65,0.33,-1.09
3/31/1928,8.81,-0.26,-1.22,0.29,4.78
4/30/1928,4.23,3.98,3.44,0.22,-4.41
5/31/1928,1.52,2.85,-3.27,0.32,3.02
6/30/1928,-4.85,-3.52,-0.03,0.31,2.04
7/31/1928,0.62,-1.32,-0.5,0.32,2.79
8/31/1928,6.68,-2.06,-2.15,0.32,3.54
9/30/1928,2.88,2.41,0.86,0.27,3.49
10/31/1928,1.33,2.22,-2.16,0.41,5.12
11/30/1928,11.81,-1.78,2.7,0.38,2.01
12/31/1928,0.36,-0.86,-0.65,0.06,1.54
1/31/1929,4.66,-3.56,-1.24,0.34,2.45
2/28/1929,-0.34,-0.38,1.66,0.36,3.05
3/31/1929,-0.89,-4.71,1.58,0.34,-0.64
4/30/1929,1.43,-0.97,0.59,0.36,1.85
5/31/1929,-6.39,-5.37,-1.42,0.44,-2
6/30/1929,9.7,-2.17,-2.79,0.52,8.71
7/31/1929,4.46,-3.85,2.66,0.33,2.84
8/31/1929,8.18,-9.51,0,0.4,4.7
9/30/1929,-5.47,1.18,-0.62,0.35,2.97
10/31/1929,-20.12,-4.01,7.77,0.46,4.1
11/30/1929,-12.74,-1.81,5.22,0.37,-2.39
12/31/1929,1.33,-4.48,-0.59,0.37,5.19
1/31/1930,5.61,3.53,-0.92,0.14,-5.24
2/28/1930,2.5,0.19,0.2,0.3,0.62
3/31/1930,7.1,3.41,0.33,0.35,-4.42
4/30/1930,-2.06,-0.35,-0.35,0.21,3.98
5/31/1930,-1.66,-2.02,-0.71,0.26,0.05
6/30/1930,-16.27,-3.36,2.28,0.27,6.62
7/31/1930,4.12,-0.35,-1.54,0.2,-2.11
8/31/1930,0.3,-2.23,-0.79,0.09,3.95
9/30/1930,-12.75,-2.22,-5.27,0.22,11.48
10/31/1930,-8.78,-0.12,-1.38,0.09,6.86
11/30/1930,-3.04,2.22,-3.52,0.13,-1.46
12/31/1930,-7.83,-4.66,-5.38,0.14,13.32
1/31/1931,6.24,3.75,7.13,0.15,-11.07
2/28/1931,10.88,3.38,1.6,0.04,-14.47
3/31/1931,-6.43,3.06,-3.67,0.13,9.46
4/30/1931,-9.98,-4.63,-3.95,0.08,11.4
5/31/1931,-13.24,5.16,-6.59,0.09,9.26
6/30/1931,13.9,-5.36,11.34,0.08,-17.88
7/31/1931,-6.62,1.49,-2.21,0.06,8.2
8/31/1931,0.41,-1.92,-1.54,0.03,-3.5
9/30/1931,-29.13,0.48,-6.67,0.03,10.15
10/31/1931,8.04,-1.73,1.46,0.1,3.27
11/30/1931,-9.08,4.32,-5.06,0.17,7.54
12/31/1931,-13.53,-0.42,-9.05,0.12,14.16
1/31/1932,-1.58,3.85,9.16,0.23,-10.87
2/29/1932,5.46,-2.87,-1.31,0.23,1.59
3/31/1932,-11.21,2.34,-2.44,0.16,9.92
4/30/1932,-17.96,1.51,1.32,0.11,6.97
5/31/1932,-20.51,4.12,-3.32,0.06,12.28
6/30/1932,-0.7,0.19,5.52,0.02,1.88
7/31/1932,33.84,-4.59,35.61,0.03,-45.02
8/31/1932,37.06,13.41,34.24,0.03,-52.05
9/30/1932,-2.94,-2.08,-7.36,0.03,2.36
10/31/1932,-13.17,-2.56,-10.33,0.02,4.95
11/30/1932,-5.88,2,-13.11,0.02,-1.83
12/31/1932,4.4,-8.64,-7.72,0.01,5.48
